"Name_REPHY";"Phylum";"Subphylum";"Infraphylum";"Class";"Subclass";"Order";"Family";"Genus"
"Thalassiosiraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";NA
"Fragilidium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Pyrophacaceae";"Fragilidium"
"Lauderia annulata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Lauderiaceae";"Lauderia"
"Thalassiosira punctigera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Dinobryon";"Ochrophyta";"Phaeista";"Limnista";"Chrysophyceae";NA;"Chromulinales";"Dinobryaceae";"Dinobryon"
"Katodinium glaucum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Katodinium"
"Navicula gregaria + cryptocephala";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Navicula"
"Pedinellales";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";"Alophycidae";"Pedinellales";NA;NA
"Haptolina hirta + ericina + Chrysochromulina spinifera";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Prymnesiales";"Prymnesiaceae+Chrysochromulinaceae";"Haptolina+Chrysochromulina"
"Chaetoceros fragilis + wighamii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Pseudo-nitzschia fraudulenta";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Cylindrotheca";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Cylindrotheca"
"Coccolithus";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Coccolithales";"Coccolithaceae";"Coccolithus"
"Navicula gregaria";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Navicula"
"Apedinella radians";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";"Alophycidae";"Pedinellales";"Pedinellaceae";"Apedinella"
"Eutreptiaceae";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Eutreptiida";"Eutreptiaceae";NA
"Gymnodinium + Gyrodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gymnodinium+Gyrodinium"
"Asterionella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales";"Fragilariaceae";"Asterionella"
"Paralia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Paraliales";"Paraliaceae";"Paralia"
"Lepidodinium chlorophorum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Lepidodinium"
"Hantzschia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Hantzschia"
"Eutreptiida";"Euglenozoa";NA;NA;"Euglenoidea";"Euglenia";"Eutreptiida";NA;NA
"Protoperidinium punctulatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Karenia brevis + papilionacea";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karenia"
"Neoceratium lineatum + minutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Neoceratium"
"Alexandrium tamarense + catenella + tamutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Leptocylindraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Leptocylindrales";"Leptocylindraceae";NA
"Oblea";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Oblea"
"Peridiniaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniaceae";NA
"Prymnesiales";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Prymnesiales";NA;NA
"Amylax triacantha + buxus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Amylax"
"Thalassiosira gravida";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Thalassiosira anguste-lineata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Triceratiaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";NA
"Coscinodiscus wailesii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus"
"Amphidoma";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophyceae incertae sedis";"Amphidomataceae";"Amphidoma"
"Thalassiosira subtilis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Podosira stelligera";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Hyalodiscaceae";"Podosira"
"Amphidinium carterae + operculatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Amphidinium"
"Protoceratium reticulatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Protoceratium"
"Pseudo-nitzschia australis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Fibrocapsa japonica";"Ochrophyta";"Phaeista";"Monista";"Raphidophyceae";NA;"Chattonellales";"Chattonellaceae";"Fibrocapsa"
"Pronoctiluca";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Protodiniferaceae";"Pronoctiluca"
"Gonyaulacaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";NA
"Pseudo-nitzschia subpacifica";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Tripos muelleri";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Tripos"
"Ebria";"Kingdom_protista";NA;NA;NA;NA;NA;NA;NA
"Amylax triacantha";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Amylax"
"Oxytoxum + Corythodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Oxytoxaceae";"Oxytoxum+Corythodinium"
"Dinophysis acuta";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Peridiniella";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Cladopyxidaceae";"Peridiniella"
"Amphidiniopsis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Oxytoxaceae";"Amphidiniopsis"
"Pseudo-nitzschia multistriata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Detonula pumila";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Skeletonemaceae";"Detonula"
"Chaetoceros protuberans";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Azadinium caudatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophyceae incertae sedis";"Amphidomataceae";"Azadinium"
"Plagiolemma sp. nov.";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Plagiotropidaceae";"Plagiolemma"
"Amylax";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Amylax"
"Prymnesiaceae";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Prymnesiales";"Prymnesiaceae";NA
"Chaetoceros diadema";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Gymnodinium impudicum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gymnodinium"
"Adenoides";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniida incertae sedis";"Adenoides"
"Karenia papilionacea";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Kareniaceae";"Karenia"
"Pseliodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinoflagellata incertae sedis";NA;NA;NA;"Pseliodinium"
"Closterium";NA;NA;NA;NA;NA;NA;NA;NA
"Dinophysis norvegica";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Mesoporos";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Mesoporos"
"Alexandrium margalefii";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Alexandrium pseudogonyaulax";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Pseudopedinella";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";"Alophycidae";"Pedinellales";"Pedinellaceae";"Pseudopedinella"
"Oxytoxaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Oxytoxaceae";NA
"Biddulphiaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Biddulphiales";"Biddulphiaceae";NA
"Pachysphaera + Pterosperma";"Chlorophyta";NA;NA;"Chlorodendrophyceae+Prasinophyceae";NA;"Chlorodendrales+Halosphaerales";"Halosphaeraceae+Pterospermataceae";"Pachysphaera+Pterosperma"
"Staurastrum";NA;NA;NA;NA;NA;NA;NA;NA
"Alexandrium andersonii";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Merismopedia";"Cyanobacteria";NA;NA;"Cyanophyceae";"Synechococcophycideae";"Synechococcales";"Merismopediaceae";"Merismopedia"
"Protoperidinium diabolum + longipes";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Ceratium tripos + Ceratium à cornes recourbées";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Ceratium"
"Alexandrium leei";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Melosiraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Melosiraceae";NA
"Toxonidea";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Pleurosigmataceae";"Toxonidea"
"Alexandrium affine";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Dinophysis tripos";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Metaphalacroma";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Metaphalacroma"
"Halosphaera";"Chlorophyta";NA;NA;"Pyramimonadophyceae";NA;"Pyramimonadales";"Pyramimonadaceae";"Halosphaera"
"Protoperidinium pentagonum + latissimum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Sinophysis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Sinophysis"
"Fibrocapsa";"Ochrophyta";"Phaeista";"Monista";"Raphidophyceae";NA;"Chattonellales";"Chattonellaceae";"Fibrocapsa"
"Attheya";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Attheyaceae";"Attheya"
"Proboscia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Proboscia"
"Spatulodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Noctilucales";"Kofoidiniaceae";"Spatulodinium"
"Pyramimonas longicauda";"Chlorophyta";NA;NA;"Pyramimonadophyceae";NA;"Pyramimonadales";"Pyramimonadaceae";"Pyramimonas"
"Gonyaulax verior";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Gonyaulax"
"Diatoma";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Fragilariophycidae";"Fragilariales";"Fragilariaceae";"Diatoma"
"Coscinodiscus granii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus"
"Goniodoma polyedricum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Goniodomataceae";"Goniodoma"
"Dinophysiaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";NA
"Protoperidinium divergens";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Alexandrium tamutum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Warnowiaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Warnowiaceae";NA
"Ditylum sol";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Lithodesmiales";"Lithodesmiaceae";"Ditylum"
"Goniodoma";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Goniodomataceae";"Goniodoma"
"Triadinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Goniodomataceae";"Triadinium"
"Cryptomonadales";"Cryptophyta";NA;NA;"Cryptophyceae";NA;"Cryptomonadales";NA;NA
"Dinophysiales";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";NA;NA
"Chaetocerotaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";NA
"Gymnodinium catenatum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gymnodinium"
"Entomoneidaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Surirellales";"Entomoneidaceae";NA
"Surirellaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Surirellales";"Surirellaceae";NA
"Plagiotropidaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Plagiotropidaceae";NA
"Selenastrum";"Chlorophyta";NA;NA;"Chlorophyceae";NA;"Sphaeropleales";"Selenastraceae";"Selenastrum"
"Lithodesmiaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Lithodesmiales";"Lithodesmiaceae";NA
"Akashiwo";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Akashiwo"
"Pyrophacaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Pyrophacaceae";NA
"Pseudo-nitzschia pseudodelicatissima";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
"Tintinnidae";"Ciliophora";"Intramacronucleata";NA;"Oligotrichea";"Oligotrichia";"Choreotrichida";"Tintinnidae";NA
"Amphiprora";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Amphipleuraceae";"Amphiprora"
"Thalassiosira minima";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Thalassiosira"
"Gomphonema + Gomphoneis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophyceae incertae sedis+Bacillariophycidae";"Cymbellales";"Gomphonemataceae";"Gomphonema+Gomphoneis"
"Dinophyceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;NA;NA;NA
"Oxyrrhis";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Oxyrrhinales";"Oxyrrhinaceae";"Oxyrrhis"
"Prorocentrales";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";NA;NA
"Cymatosiraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Cymatosirales";"Cymatosiraceae";NA
"Gyrosigma fasciola";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Pleurosigmataceae";"Gyrosigma"
"Melosira nummuloides";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Melosiraceae";"Melosira"
"Chromista";NA;NA;NA;NA;NA;NA;NA;NA
"Helicostomella";"Ciliophora";"Intramacronucleata";NA;"Oligotrichea";"Oligotrichia";"Choreotrichida";"Metacylididae";"Helicostomella"
"Ceratiaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";NA
"Chaetoceros fragilis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Achnanthes brevipes";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Achnanthales";"Achnanthaceae";"Achnanthes"
"Tetraselmis + Prasinocladus";"Chlorophyta";NA;NA;"Chlorodendrophyceae";NA;"Chlorodendrales";"Chlorodendraceae";"Tetraselmis+Prasinocladus"
"Protoperidinium obtusum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Coscinodiscus oculus-iridis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus"
"Coscinodiscaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";NA
"Dictyochaceae";"Ochrophyta";"Phaeista";"Monista";"Dictyochophyceae";NA;"Dictyochales";"Dictyochaceae";NA
"Ensiculifera";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Peridiniaceae";"Ensiculifera"
"Plagiolemma";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Plagiotropidaceae";"Plagiolemma"
"Haslea ostrearia";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Haslea"
"Laboea";"Ciliophora";"Intramacronucleata";NA;"Oligotrichea";"Oligotrichia";"Oligotrichida";"Tontoniidae";"Laboea"
"Trieres mobiliensis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Trieres"
"Goniodomataceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Goniodomataceae";NA
"Alexandrium tamarense";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Triceratium favus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Triceratiales";"Triceratiaceae";"Triceratium"
"Coscinodiscus asteromphalus + oculus-iridis + perforatus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Coscinodiscaceae";"Coscinodiscus"
"Achnanthaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Achnanthales";"Achnanthaceae";NA
"Heliopeltaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Coscinodiscales";"Heliopeltaceae";NA
"Microcystis";"Cyanobacteria";NA;NA;"Cyanophyceae";"Oscillatoriophycideae";"Chroococcales";"Microcystaceae";"Microcystis"
"Actinastrum";"Chlorophyta";NA;NA;"Trebouxiophyceae";NA;"Chlorellales";"Chlorellaceae";"Actinastrum"
"Chlorodendrales";"Chlorophyta";NA;NA;"Chlorodendrophyceae";NA;"Chlorodendrales";NA;NA
"Cymbellaceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Cymbellales";"Cymbellaceae";NA
"Prorocentraceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";NA
"Crucigenia";"Chlorophyta";NA;NA;"Trebouxiophyceae";NA;"Trebouxiophyceae ordo incertae sedis";"Trebouxiophyceae incertae sedis";"Crucigenia"
"Lepidodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Lepidodinium"
"Proboscia truncata";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Rhizosoleniales";"Rhizosoleniaceae";"Proboscia"
"Hermesinum";"Kingdom_protista";NA;NA;NA;NA;NA;NA;NA
"Tous Dinophysis ronds avec épithèque bien visible";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Dinophysis"
"Prorocentrum mexicanum + rhathymum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Prorocentrales";"Prorocentraceae";"Prorocentrum"
"Polykrikaceae";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Polykrikaceae";NA
"Anabaena";"Cyanobacteria";NA;NA;"Cyanophyceae";"Nostocophycideae";"Nostocales";"Nostocaceae";"Anabaena"
"Cochlodinium polykrikoides";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Cochlodinium"
"Alexandrium catenella";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Alexandrium insuetum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Gonyaulacaceae";"Alexandrium"
"Ebriaceae";"Kingdom_protista";NA;NA;NA;NA;NA;NA;NA
"Schroederella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Melosirales";"Melosiraceae";"Schroederella"
"Ophiaster";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Syracosphaerales";"Syracosphaeraceae";"Ophiaster"
"Protoperidinium crassipes";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Cymbella";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Cymbellales";"Cymbellaceae";"Cymbella"
"Phalacroma rapa";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Phalacroma"
"Protoperidinium brevipes";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Ornithocercus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Dinophysiales";"Dinophysiaceae";"Ornithocercus"
"Asterolampraceae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Asterolamprales";"Asterolampraceae";NA
"Protoperidinium diabolum";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Tripos symmetricus";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gonyaulacales";"Ceratiaceae";"Tripos"
"Desmodesmus communis";"Chlorophyta";NA;NA;"Chlorophyceae";NA;"Sphaeropleales";"Scenedesmaceae";"Desmodesmus"
